price,negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches
19000000.0,1,3,1,166,6,2850.0,8.5
13500000.0,1,2,1,50,6,2850.0,10.0
32500000.0,1,5,3,166,4,2850.0,10.0
20000000.0,0,4,2,50,6,1435.0,5.5
9000000.0,1,3,1,66,6,2850.0,10.0
17000000.0,1,3,2,81,6,2850.0,10.0
21000000.0,1,5,3,66,6,2850.0,11.0
12500000.0,1,2,2,66,6,2850.0,10.0
8500000.0,1,3,1,50,6,2850.0,6.0
22500000.0,1,4,2,66,6,2850.0,11.0
15000000.0,1,2,1,50,6,2850.0,6.0
13000000.0,1,3,1,50,6,2850.0,9.8
9800000.0,1,2,1,66,6,2850.0,10.0
16500000.0,1,4,2,66,6,2850.0,10.0
48500000.0,1,4,2,50,6,2850.0,12.5
9500000.0,1,1,1,81,6,2850.0,7.0
19000000.0,0,2,1,166,4,2850.0,10.0
34000000.0,0,4,2,66,6,2850.0,33.0
32000000.0,0,4,2,66,6,2850.0,10.0
13000000.0,1,4,2,66,6,2850.0,12.5
17000000.0,1,2,1,50,6,860.0,8.0
27500000.0,0,1,1,8,4,2850.0,18.0
14000000.0,1,3,2,66,6,2850.0,8.5
5500000.0,0,2,1,106,13,2850.0,52.0
27000000.0,0,3,2,92,13,2850.0,24.5
38000000.0,0,4,1,41,4,2850.0,8.0
22000000.0,0,3,2,50,6,2850.0,15.0
15500000.0,0,2,1,50,6,2850.0,25.0
13500000.0,0,1,1,1,15,2850.0,11.0
15000000.0,1,2,1,89,4,2850.0,17.0
14000000.0,0,3,1,50,6,2850.0,13.5
13000000.0,0,4,1,165,6,2850.0,11.0
10000000.0,0,2,2,166,4,2850.0,12.5
14000000.0,0,3,1,50,6,2850.0,13.0
9000000.0,0,3,1,66,6,2850.0,10.0
34000000.0,0,5,3,166,4,3280.0,17.75
37500000.0,0,4,2,166,4,2993.0,10.0
8500000.0,0,3,1,92,13,2850.0,25.0
11200000.0,1,2,1,110,6,2850.0,25.0
50000000.0,1,5,3,76,10,2850.0,4.5
32500000.0,0,3,3,54,4,2850.0,11.0
54000000.0,1,3,2,147,4,2850.0,6.8
59000000.0,0,4,3,166,4,3200.0,7.0
17500000.0,0,3,2,166,4,1280.0,8.5
35000000.0,0,5,2,166,4,2850.0,8.7
26000000.0,0,3,2,166,4,2850.0,10.0
28000000.0,0,4,2,166,4,2850.0,20.0
55000000.0,0,5,3,96,4,3100.0,10.0
51000000.0,0,4,4,89,4,2850.0,10.0
11000000.0,0,3,1,166,4,2850.0,8.0
39000000.0,0,4,3,166,4,3100.0,6.0
37000000.0,0,4,3,96,4,2880.0,10.5
62000000.0,0,4,3,166,4,2850.0,32.0
110000000.0,0,5,4,50,6,4500.0,13.0
14000000.0,0,2,1,166,4,2850.0,10.0
44500000.0,0,4,1,61,4,2850.0,14.0
24000000.0,0,3,2,166,4,1280.0,6.5
25000000.0,0,3,2,166,4,2850.0,7.5
65000000.0,0,4,4,166,4,2880.0,20.0
13000000.0,0,3,1,166,4,2850.0,7.0
37500000.0,0,5,3,166,4,2826.0,10.0
54000000.0,1,5,4,166,4,2850.0,6.4
23500000.0,0,2,2,166,4,2850.0,8.0
19000000.0,0,3,2,128,4,2850.0,7.75
44100000.0,0,3,2,96,4,2850.0,21.0
12500000.0,0,2,1,166,4,2850.0,7.0
12000000.0,0,1,1,166,4,2850.0,6.0
35000000.0,0,3,2,166,4,1350.0,6.0
22000000.0,1,3,3,166,4,2850.0,6.0
96000000.0,0,5,4,166,4,3180.0,16.0
85000000.0,0,4,3,41,4,4100.0,7.0
22500000.0,0,3,2,166,4,1275.0,10.4
30000000.0,0,3,2,166,4,1650.0,10.0
42000000.0,0,3,1,128,4,2850.0,20.0
390000000.0,1,6,4,166,4,9000.0,52.0
