negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches,price
0,4,2,92,13,2850.0,10.0,37500000.0
1,4,4,166,4,4500.0,13.0,53000000.0
0,2,1,8,4,2850.0,6.1,13300000.0
0,7,2,48,5,1800.0,45.0,40000000.0
1,7,3,166,4,2850.0,8.87,5000000.0
0,4,4,166,4,2850.0,13.0,35000000.0
1,2,1,166,4,2850.0,9.9,28500000.0
0,4,2,166,4,2350.0,12.5,58000000.0
0,5,3,8,4,3700.0,18.0,125000000.0
1,3,1,126,9,2850.0,15.0,9800000.0
0,2,1,42,6,2850.0,10.0,3500000.0
0,3,1,83,12,2850.0,3.5,6000000.0
0,4,1,92,13,2850.0,1.0,5000000.0
0,3,1,50,6,2850.0,10.0,4800000.0
0,3,1,142,4,2850.0,16.0,27000000.0
1,4,4,166,4,2800.0,10.5,48000000.0
0,3,2,166,4,2850.0,7.0,24500000.0
1,5,5,121,4,6000.0,14.8,149000000.0
0,6,2,84,6,2850.0,5.5,17500000.0
0,8,6,121,4,8500.0,11.0,200000000.0
1,5,4,166,4,3700.0,15.0,48000000.0
0,1,1,133,4,2850.0,11.5,26000000.0
1,5,3,166,4,2800.0,10.5,70000000.0
1,1,1,126,9,2850.0,17.0,8000000.0
1,5,1,62,9,2000.0,42.0,23000000.0
1,3,2,61,4,2850.0,10.0,19500000.0
0,3,1,166,4,2850.0,22.15,88000000.0
0,1,1,166,4,2850.0,11.5,18500000.0
1,5,3,133,4,3500.0,11.0,36000000.0
0,2,1,73,9,2850.0,7.0,2200000.0
0,6,4,33,4,2850.0,17.0,9000000.0
0,2,1,166,4,2850.0,7.1,26000000.0
0,3,3,82,4,2850.0,10.0,23000000.0
0,1,1,2,13,2850.0,60.0,22500000.0
0,3,1,50,6,2850.0,12.5,14800000.0
0,2,1,13,9,2850.0,12.0,9000000.0
1,5,1,126,9,2850.0,37.0,19000000.0
0,1,1,166,4,2850.0,22.0,18000000.0
0,3,1,126,9,2850.0,9.75,7500000.0
1,5,1,166,1,2850.0,3.0,8000000.0
0,3,1,58,4,2850.0,11.5,9700000.0
0,1,1,64,6,2850.0,14.5,6500000.0
1,3,1,166,4,2850.0,6.3,10800000.0
0,5,1,166,1,2850.0,3.0,7200000.0
0,4,3,166,4,3800.0,8.4,68000000.0
0,3,1,92,13,2850.0,20.0,11000000.0
1,4,3,166,4,3218.0,6.0,56000000.0
0,4,2,166,4,2500.0,11.0,36000000.0
0,3,1,64,6,1800.0,12.0,14600000.0
0,3,1,71,19,2850.0,11.0,11000000.0
0,9,8,166,4,3000.0,14.5,79550000.0
1,3,2,117,6,2850.0,22.0,24000000.0
1,4,2,113,4,2023.0,6.2,29500000.0
1,4,1,74,15,2850.0,43.0,13500000.0
0,4,2,166,4,2850.0,12.0,33000000.0
0,4,2,126,9,2850.0,12.5,7000000.0
0,6,3,76,10,7000.0,20.0,53000000.0
0,2,2,166,6,2850.0,3.5,15500000.0
1,3,1,157,6,2850.0,6.7,12500000.0
1,3,1,110,6,2850.0,56.0,9000000.0
0,2,1,138,6,2850.0,8.2,8500000.0
0,2,2,166,4,2850.0,1.0,9500000.0
0,3,2,8,4,1250.0,6.7,22000000.0
0,1,1,50,6,2850.0,16.0,4700000.0
1,4,4,166,4,2000.0,6.5,75000000.0
0,4,1,92,13,1500.0,97.0,12500000.0
1,2,1,166,9,2850.0,5.0,7500000.0
0,1,1,42,6,2850.0,10.0,5000000.0
1,4,3,166,4,3500.0,11.0,40000000.0
0,2,1,100,14,2850.0,30.0,2600000.0
1,3,2,50,6,2850.0,15.0,19000000.0
0,4,4,166,4,2550.0,7.0,425000000.0
0,3,1,166,4,2850.0,22.5,13500000.0
